评分,内容,版本,时间,情绪指数,问题类别,风险标签
5,搜索准确，找东西方便多了,2.1.0,2026-07-05,93,内容,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-06-02,16,内容,高风险
4,界面简洁，用起来很顺手,1.8.0,2026-07-02,81,内容,低风险
4,社区氛围好，互动很积极,1.8.0,2026-06-25,81,社区,中风险
2,搜索功能越来越难用,2.0.0,2026-07-21,19,内容,高风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-06,98,内容,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-12,49,功能,低风险
3,一般般，没有惊喜,2.1.0,2026-06-22,44,内容,低风险
1,评论区被水军刷屏,1.8.0,2026-07-12,23,账号,中风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-12,62,内容,低风险
3,功能还行，中规中矩,2.0.0,2026-06-22,59,内容,低风险
3,一般般，没有惊喜,1.9.0,2026-07-17,47,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-15,27,其他,低风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-18,99,社区,低风险
5,社区氛围好，互动很积极,2.0.0,2026-06-04,82,电商,低风险
3,用了一阵子，感觉普通,2.0.0,2026-07-28,59,功能,中风险
5,内容丰富，种草体验很好,1.8.0,2026-07-11,97,社区,中风险
4,直播体验不错，带货实在,2.1.0,2026-06-15,75,电商,低风险
5,社区氛围好，互动很积极,2.1.0,2026-07-30,96,功能,低风险
3,用了一阵子，感觉普通,2.0.0,2026-06-06,28,内容,中风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-23,95,搜索,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-14,67,社区,低风险
4,直播体验不错，带货实在,2.1.0,2026-06-08,72,内容,低风险
5,内容丰富，种草体验很好,1.9.0,2026-07-11,85,电商,低风险
2,笔记被限流，流量骤降,1.8.0,2026-06-30,19,账号,高风险
2,笔记被限流，流量骤降,2.1.0,2026-07-02,25,广告,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-06-05,58,内容,低风险
3,一般般，没有惊喜,1.9.0,2026-06-21,48,内容,低风险
4,直播体验不错，带货实在,2.0.0,2026-07-20,71,搜索,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-27,80,电商,中风险
4,视频流畅，加载很快,2.0.0,2026-07-01,99,功能,低风险
5,直播体验不错，带货实在,2.0.0,2026-06-21,77,电商,低风险
2,广告越来越多，推荐质量下降,1.9.0,2026-06-29,2,功能,高风险
2,隐私设置形同虚设,2.0.0,2026-07-25,7,内容,高风险
3,功能还行，中规中矩,2.0.0,2026-07-23,31,功能,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-29,93,社区,中风险
3,一般般，没有惊喜,2.0.0,2026-07-12,45,其他,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-25,88,搜索,低风险
4,直播体验不错，带货实在,1.9.0,2026-07-17,82,搜索,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-14,79,搜索,低风险
5,内容丰富，种草体验很好,2.1.0,2026-06-28,63,功能,低风险
4,视频流畅，加载很快,1.8.0,2026-06-01,86,社区,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-17,60,搜索,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-11,70,内容,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-06-21,77,搜索,中风险
4,视频流畅，加载很快,2.0.0,2026-07-19,100,搜索,低风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-28,63,社区,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-27,45,内容,低风险
4,社区氛围好，互动很积极,1.8.0,2026-07-17,98,功能,低风险
4,直播体验不错，带货实在,1.9.0,2026-06-05,86,功能,低风险
4,攻略很实用，收藏了很多,1.9.0,2026-06-07,84,内容,低风险
1,内容审核乱封号，误伤严重,2.1.0,2026-07-17,9,内容,高风险
5,社区氛围好，互动很积极,2.0.0,2026-06-16,85,社区,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-07-25,75,电商,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-01,64,社区,低风险
1,隐私设置形同虚设,2.1.0,2026-06-22,12,功能,高风险
1,评论区被水军刷屏,2.1.0,2026-06-25,13,广告,高风险
1,内容审核乱封号，误伤严重,1.8.0,2026-06-10,11,账号,高风险
2,无故封号，申诉没人理,2.0.0,2026-07-18,13,客服,高风险
2,客服完全联系不上，太失望了,1.8.0,2026-07-27,13,账号,高风险
3,用了一阵子，感觉普通,2.1.0,2026-07-14,48,其他,中风险
4,攻略很实用，收藏了很多,1.9.0,2026-06-17,93,功能,中风险
2,隐私设置形同虚设,1.9.0,2026-07-08,10,内容,高风险
4,攻略很实用，收藏了很多,1.9.0,2026-07-12,65,功能,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-04,68,搜索,低风险
1,隐私设置形同虚设,1.8.0,2026-07-03,14,广告,高风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-05,82,电商,低风险
4,攻略很实用，收藏了很多,2.0.0,2026-06-24,80,内容,低风险
5,视频流畅，加载很快,1.9.0,2026-07-21,94,功能,低风险
5,直播体验不错，带货实在,1.8.0,2026-07-24,79,电商,低风险
5,内容丰富，种草体验很好,2.0.0,2026-06-06,73,搜索,低风险
4,社区氛围好，互动很积极,1.8.0,2026-06-08,82,内容,低风险
2,无故封号，申诉没人理,1.9.0,2026-06-09,15,客服,高风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-27,66,内容,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-09,41,其他,低风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-27,82,搜索,低风险
5,直播体验不错，带货实在,2.1.0,2026-06-29,82,社区,低风险
1,内容审核乱封号，误伤严重,1.8.0,2026-06-30,19,内容,高风险
4,视频流畅，加载很快,1.9.0,2026-07-20,92,搜索,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-22,66,功能,低风险
4,视频流畅，加载很快,2.1.0,2026-07-08,82,搜索,低风险
3,功能还行，中规中矩,1.8.0,2026-07-22,25,功能,低风险
4,购物链路顺畅，下单方便,1.9.0,2026-07-10,87,电商,低风险
2,广告越来越多，推荐质量下降,1.8.0,2026-06-16,22,账号,低风险
3,用了一阵子，感觉普通,1.9.0,2026-07-06,56,其他,低风险
4,视频流畅，加载很快,1.9.0,2026-06-23,67,搜索,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-08,94,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-22,31,其他,低风险
5,视频流畅，加载很快,1.8.0,2026-07-09,96,功能,低风险
2,隐私设置形同虚设,2.0.0,2026-06-10,7,账号,高风险
5,视频流畅，加载很快,2.1.0,2026-07-17,78,电商,低风险
2,搜索功能越来越难用,2.1.0,2026-06-02,14,客服,高风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-24,97,内容,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-24,49,功能,中风险
4,购物链路顺畅，下单方便,1.8.0,2026-07-20,100,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-06,46,内容,低风险
2,内容审核乱封号，误伤严重,2.1.0,2026-06-24,18,客服,高风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-07-27,6,广告,高风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-03,100,搜索,低风险
2,广告越来越多，推荐质量下降,1.8.0,2026-06-24,20,广告,中风险
3,功能还行，中规中矩,1.8.0,2026-06-05,30,功能,低风险
5,视频流畅，加载很快,1.8.0,2026-06-16,91,搜索,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-27,80,功能,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-10,94,功能,中风险
2,内容审核乱封号，误伤严重,1.9.0,2026-07-19,4,客服,高风险
5,攻略很实用，收藏了很多,1.8.0,2026-06-04,64,电商,低风险
4,购物链路顺畅，下单方便,1.8.0,2026-07-23,91,搜索,低风险
1,搜索功能越来越难用,2.0.0,2026-07-03,3,内容,高风险
4,视频流畅，加载很快,1.9.0,2026-07-14,61,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-29,30,内容,低风险
2,广告越来越多，推荐质量下降,2.0.0,2026-06-04,14,内容,高风险
5,社区氛围好，互动很积极,1.8.0,2026-06-16,70,内容,中风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-12,43,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-05,83,社区,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-11,96,搜索,低风险
1,隐私设置形同虚设,2.0.0,2026-06-08,19,广告,高风险
2,广告越来越多，推荐质量下降,1.9.0,2026-07-13,19,内容,高风险
5,推荐算法不错，经常有好物,2.1.0,2026-06-11,90,内容,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-23,65,搜索,低风险
3,一般般，没有惊喜,2.1.0,2026-07-18,49,内容,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-11,98,社区,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-23,90,社区,低风险
4,社区氛围好，互动很积极,2.0.0,2026-07-14,67,内容,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-06,89,电商,低风险
2,笔记被限流，流量骤降,1.9.0,2026-06-18,25,功能,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-06-01,88,社区,低风险
2,广告越来越多，推荐质量下降,2.0.0,2026-07-26,22,广告,低风险
4,直播体验不错，带货实在,2.0.0,2026-07-26,80,电商,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-09,99,内容,中风险
5,笔记质量高，信息量很大,2.1.0,2026-06-07,94,社区,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-28,79,社区,低风险
4,视频流畅，加载很快,1.9.0,2026-06-16,64,搜索,低风险
1,无故封号，申诉没人理,1.9.0,2026-06-06,19,客服,高风险
3,功能还行，中规中矩,2.0.0,2026-06-02,43,其他,中风险
3,一般般，没有惊喜,2.0.0,2026-07-07,58,其他,中风险
4,视频流畅，加载很快,2.1.0,2026-06-04,78,内容,中风险
2,笔记被限流，流量骤降,2.0.0,2026-06-05,17,功能,高风险
2,内容审核乱封号，误伤严重,1.9.0,2026-06-05,14,账号,高风险
5,界面简洁，用起来很顺手,2.0.0,2026-07-07,92,搜索,中风险
3,功能还行，中规中矩,2.0.0,2026-07-09,45,功能,低风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-13,80,搜索,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-09,94,内容,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-06-03,79,功能,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-04,25,内容,低风险
5,社区氛围好，互动很积极,1.9.0,2026-06-17,73,搜索,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-07,85,内容,中风险
5,社区氛围好，互动很积极,1.9.0,2026-07-26,63,搜索,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-07-21,91,内容,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-07,96,内容,中风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-16,61,搜索,低风险
4,直播体验不错，带货实在,2.0.0,2026-07-26,74,电商,低风险
3,功能还行，中规中矩,2.0.0,2026-06-12,55,其他,低风险
2,广告越来越多，推荐质量下降,2.0.0,2026-06-21,0,功能,高风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-09,85,功能,低风险
3,功能还行，中规中矩,1.8.0,2026-06-17,32,其他,低风险
1,客服完全联系不上，太失望了,1.9.0,2026-07-17,1,功能,高风险
1,广告越来越多，推荐质量下降,2.1.0,2026-07-16,25,账号,低风险
2,隐私设置形同虚设,2.0.0,2026-06-06,23,内容,低风险
5,笔记质量高，信息量很大,2.0.0,2026-06-27,82,电商,中风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-18,70,电商,低风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-20,64,电商,低风险
4,攻略很实用，收藏了很多,2.0.0,2026-07-23,67,内容,低风险
4,内容丰富，种草体验很好,1.9.0,2026-06-02,85,电商,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-22,93,功能,低风险
1,内容审核乱封号，误伤严重,2.0.0,2026-07-21,13,客服,高风险
1,评论区被水军刷屏,2.0.0,2026-07-29,17,账号,高风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-07,15,内容,高风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-27,88,内容,低风险
2,客服完全联系不上，太失望了,1.8.0,2026-06-10,3,内容,高风险
3,一般般，没有惊喜,2.1.0,2026-06-01,55,其他,低风险
3,一般般，没有惊喜,2.1.0,2026-06-18,44,功能,中风险
5,视频流畅，加载很快,1.8.0,2026-07-24,64,社区,低风险
3,用了一阵子，感觉普通,1.9.0,2026-07-22,26,其他,低风险
3,一般般，没有惊喜,2.1.0,2026-06-13,41,其他,中风险
5,社区氛围好，互动很积极,2.1.0,2026-06-01,67,功能,低风险
3,功能还行，中规中矩,1.8.0,2026-07-17,26,其他,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-06-09,100,搜索,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-05,74,功能,中风险
4,视频流畅，加载很快,2.1.0,2026-06-19,73,电商,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-18,85,搜索,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-07-03,8,功能,高风险
1,评论区被水军刷屏,1.8.0,2026-07-10,14,账号,高风险
3,功能还行，中规中矩,2.1.0,2026-07-01,28,其他,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-07-24,59,其他,低风险
3,一般般，没有惊喜,1.8.0,2026-07-13,27,功能,中风险
5,内容丰富，种草体验很好,1.9.0,2026-06-29,81,内容,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-03,83,社区,中风险
5,笔记质量高，信息量很大,1.9.0,2026-07-11,64,内容,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-12,77,社区,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-17,78,内容,中风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-29,65,内容,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-26,61,内容,中风险
4,内容丰富，种草体验很好,2.0.0,2026-06-03,85,社区,低风险
2,内容审核乱封号，误伤严重,2.0.0,2026-06-13,11,账号,高风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-07-18,27,内容,低风险
5,直播体验不错，带货实在,2.0.0,2026-07-14,96,功能,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-13,100,电商,低风险
4,内容丰富，种草体验很好,2.0.0,2026-07-24,72,功能,低风险
1,无故封号，申诉没人理,2.1.0,2026-07-25,19,内容,高风险
5,内容丰富，种草体验很好,1.9.0,2026-06-13,73,搜索,中风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-05,80,电商,低风险
2,隐私设置形同虚设,1.8.0,2026-06-21,11,账号,高风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-29,89,内容,低风险
2,隐私设置形同虚设,2.1.0,2026-06-29,16,内容,高风险
3,一般般，没有惊喜,2.1.0,2026-07-19,32,内容,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-07-20,63,社区,低风险
3,用了一阵子，感觉普通,1.8.0,2026-06-15,48,其他,中风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-06,53,功能,低风险
4,社区氛围好，互动很积极,1.9.0,2026-06-10,90,社区,低风险
5,笔记质量高，信息量很大,1.8.0,2026-07-03,60,内容,中风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-13,97,内容,低风险
5,视频流畅，加载很快,2.1.0,2026-07-01,80,搜索,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-13,61,功能,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-13,98,搜索,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-07-19,84,社区,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-10,22,广告,低风险
2,更新后经常闪退，体验很差,1.9.0,2026-06-11,16,客服,高风险
3,用了一阵子，感觉普通,1.8.0,2026-07-17,52,其他,低风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-06-19,23,内容,中风险
2,客服完全联系不上，太失望了,1.8.0,2026-06-13,10,广告,高风险
2,客服完全联系不上，太失望了,2.0.0,2026-07-03,19,内容,高风险
5,界面简洁，用起来很顺手,2.1.0,2026-07-22,87,功能,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-07-02,84,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-06-09,63,社区,中风险
5,社区氛围好，互动很积极,2.1.0,2026-06-09,93,内容,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-27,82,电商,低风险
4,视频流畅，加载很快,1.9.0,2026-07-20,62,搜索,低风险
1,评论区被水军刷屏,1.8.0,2026-07-16,6,客服,高风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-02,74,搜索,低风险
3,一般般，没有惊喜,1.8.0,2026-07-15,30,内容,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-10,54,内容,低风险
5,攻略很实用，收藏了很多,1.9.0,2026-07-23,66,电商,低风险
3,一般般，没有惊喜,1.8.0,2026-07-01,54,其他,低风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-07,88,电商,中风险
4,直播体验不错，带货实在,2.1.0,2026-07-29,77,电商,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-07-13,65,功能,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-29,81,电商,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-25,70,社区,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-15,77,功能,低风险
3,功能还行，中规中矩,1.9.0,2026-07-10,48,功能,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-27,85,功能,中风险
3,功能还行，中规中矩,2.1.0,2026-07-18,31,内容,低风险
3,用了一阵子，感觉普通,2.1.0,2026-06-30,42,其他,中风险
1,更新后经常闪退，体验很差,2.1.0,2026-06-18,25,功能,低风险
1,客服完全联系不上，太失望了,1.9.0,2026-06-15,10,客服,高风险
4,推荐算法不错，经常有好物,1.8.0,2026-06-18,82,社区,低风险
3,功能还行，中规中矩,1.9.0,2026-07-29,36,其他,低风险
4,社区氛围好，互动很积极,1.8.0,2026-07-08,98,电商,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-07-10,6,账号,高风险
1,更新后经常闪退，体验很差,2.0.0,2026-06-23,19,账号,高风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-16,81,功能,低风险
1,隐私设置形同虚设,2.1.0,2026-07-10,0,广告,高风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-05,98,社区,低风险
2,笔记被限流，流量骤降,2.1.0,2026-07-23,13,账号,高风险
1,无故封号，申诉没人理,1.8.0,2026-06-04,14,功能,高风险
2,无故封号，申诉没人理,1.8.0,2026-07-19,7,广告,高风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-15,63,功能,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-04,95,社区,低风险
3,功能还行，中规中矩,2.1.0,2026-07-25,32,功能,低风险
2,搜索功能越来越难用,1.8.0,2026-07-15,2,内容,高风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-21,60,电商,中风险
4,攻略很实用，收藏了很多,1.8.0,2026-07-26,81,电商,低风险
4,内容丰富，种草体验很好,2.1.0,2026-06-11,73,内容,低风险
5,社区氛围好，互动很积极,1.9.0,2026-07-23,83,社区,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-16,82,社区,低风险
5,内容丰富，种草体验很好,2.1.0,2026-06-09,60,搜索,低风险
4,内容丰富，种草体验很好,1.9.0,2026-06-21,82,搜索,中风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-08,90,电商,低风险
5,直播体验不错，带货实在,2.0.0,2026-07-25,79,搜索,低风险
5,内容丰富，种草体验很好,1.8.0,2026-07-26,84,电商,低风险
2,隐私设置形同虚设,2.0.0,2026-06-01,0,功能,高风险
5,内容丰富，种草体验很好,1.8.0,2026-07-04,71,社区,中风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-16,77,社区,低风险
3,一般般，没有惊喜,2.1.0,2026-06-30,45,内容,低风险
2,隐私设置形同虚设,1.9.0,2026-06-24,4,账号,高风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-02,56,功能,低风险
3,一般般，没有惊喜,1.9.0,2026-07-09,45,内容,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-26,56,功能,低风险
3,功能还行，中规中矩,2.1.0,2026-06-01,52,其他,低风险
1,隐私设置形同虚设,2.1.0,2026-07-26,3,功能,高风险
2,评论区被水军刷屏,1.8.0,2026-06-22,5,内容,高风险
5,直播体验不错，带货实在,2.0.0,2026-07-16,63,功能,中风险
3,一般般，没有惊喜,1.8.0,2026-07-03,44,内容,低风险
1,客服完全联系不上，太失望了,1.9.0,2026-07-13,7,功能,高风险
4,内容丰富，种草体验很好,1.9.0,2026-07-14,97,内容,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-23,72,内容,中风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-30,95,搜索,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-14,34,其他,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-10,65,功能,低风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-07-05,8,功能,高风险
2,广告越来越多，推荐质量下降,1.9.0,2026-07-18,23,客服,中风险
3,一般般，没有惊喜,1.8.0,2026-06-01,29,其他,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-06-27,71,功能,低风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-20,89,电商,低风险
5,内容丰富，种草体验很好,1.8.0,2026-07-13,89,内容,低风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-26,88,功能,低风险
3,一般般，没有惊喜,1.9.0,2026-06-01,29,内容,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-09,82,电商,中风险
4,推荐算法不错，经常有好物,2.1.0,2026-07-20,74,电商,低风险
4,视频流畅，加载很快,1.9.0,2026-06-30,85,搜索,低风险
2,评论区被水军刷屏,1.9.0,2026-07-03,9,内容,高风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-05,90,内容,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-07-20,44,内容,低风险
2,内容审核乱封号，误伤严重,1.8.0,2026-07-11,23,内容,低风险
4,攻略很实用，收藏了很多,1.8.0,2026-07-22,70,功能,低风险
3,一般般，没有惊喜,1.8.0,2026-07-11,28,内容,低风险
5,内容丰富，种草体验很好,2.0.0,2026-07-01,67,内容,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-06-18,58,其他,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-21,59,功能,低风险
5,社区氛围好，互动很积极,1.9.0,2026-07-29,84,功能,低风险
5,内容丰富，种草体验很好,2.1.0,2026-07-22,80,功能,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-24,63,搜索,低风险
2,隐私设置形同虚设,1.8.0,2026-07-09,23,账号,中风险
3,一般般，没有惊喜,1.9.0,2026-07-11,40,内容,低风险
4,内容丰富，种草体验很好,1.9.0,2026-07-06,79,社区,低风险
1,搜索功能越来越难用,2.0.0,2026-06-10,0,客服,高风险
4,内容丰富，种草体验很好,2.1.0,2026-06-18,63,电商,中风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-13,60,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-30,26,内容,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-22,35,功能,低风险
2,评论区被水军刷屏,1.9.0,2026-07-23,25,广告,低风险
1,隐私设置形同虚设,1.8.0,2026-07-20,21,功能,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-07,39,其他,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-05,65,社区,低风险
1,客服完全联系不上，太失望了,1.8.0,2026-07-13,0,内容,高风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-03,85,社区,中风险
4,直播体验不错，带货实在,2.1.0,2026-07-14,85,电商,中风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-06-04,41,功能,低风险
5,笔记质量高，信息量很大,1.9.0,2026-07-23,82,功能,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-07-29,74,电商,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-07,98,搜索,低风险
2,客服完全联系不上，太失望了,1.9.0,2026-07-13,25,功能,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-02,68,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-18,54,功能,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-16,27,功能,低风险
4,视频流畅，加载很快,2.0.0,2026-06-18,88,社区,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-07-17,44,功能,中风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-13,93,功能,低风险
2,评论区被水军刷屏,1.9.0,2026-07-30,15,客服,高风险
4,笔记质量高，信息量很大,2.1.0,2026-06-05,84,社区,低风险
1,笔记被限流，流量骤降,2.1.0,2026-07-01,25,功能,低风险
5,直播体验不错，带货实在,2.1.0,2026-06-26,66,社区,低风险
4,视频流畅，加载很快,2.0.0,2026-06-07,60,内容,低风险
3,功能还行，中规中矩,1.8.0,2026-07-02,36,其他,中风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-30,85,内容,低风险
4,直播体验不错，带货实在,2.0.0,2026-07-02,76,电商,中风险
4,内容丰富，种草体验很好,2.0.0,2026-06-06,84,电商,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-04,94,内容,低风险
3,一般般，没有惊喜,2.1.0,2026-06-17,35,其他,低风险
5,直播体验不错，带货实在,2.1.0,2026-06-29,86,社区,中风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-16,81,社区,低风险
3,用了一阵子，感觉普通,2.1.0,2026-07-12,25,其他,低风险
4,直播体验不错，带货实在,2.0.0,2026-06-03,74,内容,低风险
3,用了一阵子，感觉普通,2.1.0,2026-06-16,36,内容,低风险
4,视频流畅，加载很快,2.0.0,2026-06-04,64,社区,中风险
5,视频流畅，加载很快,2.0.0,2026-07-10,88,内容,低风险
4,笔记质量高，信息量很大,1.8.0,2026-07-26,88,内容,中风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-04,42,功能,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-07-03,69,搜索,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-06-20,41,其他,低风险
3,一般般，没有惊喜,1.8.0,2026-06-11,41,其他,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-25,73,电商,低风险
5,社区氛围好，互动很积极,2.1.0,2026-06-29,67,内容,中风险
2,无故封号，申诉没人理,2.1.0,2026-06-30,22,内容,低风险
2,笔记被限流，流量骤降,2.1.0,2026-06-08,15,广告,高风险
4,社区氛围好，互动很积极,2.0.0,2026-06-07,80,社区,低风险
4,笔记质量高，信息量很大,1.9.0,2026-06-27,94,电商,低风险
5,内容丰富，种草体验很好,1.8.0,2026-07-01,65,搜索,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-05,76,内容,低风险
3,功能还行，中规中矩,2.0.0,2026-07-24,45,其他,中风险
3,一般般，没有惊喜,2.1.0,2026-07-18,36,功能,中风险
2,笔记被限流，流量骤降,2.1.0,2026-06-09,19,功能,高风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-21,93,电商,中风险
4,笔记质量高，信息量很大,1.9.0,2026-06-17,75,电商,低风险
